Date,Open,High,Low,Close,Adj Close,Volume
2/1/2019,41.740002,43.967499,41.482498,43.287498,41.547802,1890162400
3/1/2019,43.57,49.422501,42.375,47.487499,45.774506,2603925600
4/1/2019,47.91,52.119999,47.095001,50.1675,48.357822,2024470800
5/1/2019,52.470001,53.827499,43.747501,43.767502,42.188698,2957826400
6/1/2019,43.900002,50.392502,42.567501,49.48,47.878799,2060874800
7/1/2019,50.7925,55.342499,49.602501,53.259998,51.536469,1895406800
8/1/2019,53.474998,54.5075,48.145,52.185001,50.496262,2724326400
9/1/2019,51.607498,56.605,51.055,55.9925,54.386398,2170268400
10/1/2019,56.267502,62.4375,53.782501,62.189999,60.406132,2433210800
11/1/2019,62.384998,67,62.290001,66.8125,64.896049,1793326000
12/1/2019,66.817497,73.4925,64.072502,73.412498,71.520805,2388794800
1/1/2020,74.059998,81.962502,73.1875,77.377502,75.383652,2934370400
2/1/2020,76.074997,81.805,64.092499,68.339996,66.57901,3019279200
3/1/2020,70.57,76,53.1525,63.572498,62.08136,6280072400
4/1/2020,61.625,73.6325,59.224998,73.449997,71.72715,3265299200
5/1/2020,71.5625,81.059998,71.462502,79.485001,77.620605,2805936000
6/1/2020,79.4375,93.095001,79.302498,91.199997,89.30191,3243375600
7/1/2020,91.279999,106.415001,89.144997,106.260002,104.048485,3020283200
8/1/2020,108.199997,131,107.892502,129.039993,126.354355,4070061100
9/1/2020,132.759995,137.979996,103.099998,115.809998,113.604179,3885245100
10/1/2020,117.639999,125.389999,107.720001,108.860001,106.786552,2894666500
11/1/2020,109.110001,121.989998,107.32,119.050003,116.782478,2123077300
12/1/2020,121.010002,138.789993,120.010002,132.690002,130.387238,2322189600
1/1/2021,133.520004,145.089996,126.379997,131.960007,129.669907,2240262000
2/1/2021,133.75,137.880005,118.389999,121.260002,119.155602,1833855600
3/1/2021,123.75,128.720001,116.209999,122.150002,120.209518,2650418200
4/1/2021,123.660004,137.070007,122.489998,131.460007,129.371613,1889857500
5/1/2021,132.039993,134.070007,122.25,124.610001,122.630432,1711934900
6/1/2021,125.080002,137.410004,123.129997,136.960007,135.013199,1606590000
7/1/2021,136.600006,150,135.759995,145.860001,143.786697,1919035100
8/1/2021,146.360001,153.490005,144.5,151.830002,149.671799,1461542800
9/1/2021,152.830002,157.259995,141.270004,141.5,139.697647,1797835100
10/1/2021,141.899994,153.169998,138.270004,149.800003,147.891922,1565079200
11/1/2021,148.990005,165.699997,147.479996,165.300003,163.194489,1691029000
12/1/2021,167.479996,182.130005,157.800003,177.570007,175.564072,2444766700
1/1/2022,177.830002,182.940002,154.699997,174.779999,172.805557,2108446000
2/1/2022,174.009995,176.649994,152,165.119995,163.254715,1627516300
3/1/2022,164.699997,179.610001,150.100006,174.610001,172.857452,2180800100
4/1/2022,174.029999,178.490005,155.380005,157.649994,156.067657,1687795600
5/1/2022,156.710007,166.479996,132.610001,148.839996,147.346069,2401040300
6/1/2022,149.899994,151.740005,129.039993,136.720001,135.5466,1749099800
7/1/2022,136.039993,163.630005,135.660004,162.509995,161.11525,1447125400
8/1/2022,161.009995,176.149994,157.139999,157.220001,155.870651,1510239600
9/1/2022,156.639999,164.259995,138,138.199997,137.204224,2084722800
10/1/2022,138.210007,157.5,134.369995,153.339996,152.235123,1868139700
11/1/2022,155.080002,155.449997,134.380005,148.029999,146.963379,1724847700
12/1/2022,148.210007,150.919998,125.870003,129.929993,129.207779,1675731200
1/1/2023,130.279999,147.229996,124.169998,144.289993,143.487961,1443652500
2/1/2023,143.970001,157.380005,141.320007,147.410004,146.590622,1307198900
3/1/2023,146.830002,165,143.899994,164.899994,164.23378,1520266600
4/1/2023,164.270004,169.850006,159.779999,169.679993,168.994476,969709700
5/1/2023,169.279999,179.350006,164.309998,177.25,176.53389,1275155500
6/1/2023,177.699997,194.479996,176.929993,193.970001,193.453552,1297101100
7/1/2023,193.779999,198.229996,186.600006,196.449997,195.926956,996066400
8/1/2023,196.240005,196.729996,171.960007,187.869995,187.369781,1322439400
9/1/2023,189.490005,189.979996,167.619995,171.210007,170.984741,1337586600
10/1/2023,171.220001,182.339996,165.669998,170.770004,170.545319,1172719600
11/1/2023,171,192.929993,170.119995,189.949997,189.700073,1099586100
12/1/2023,190.330002,199.619995,187.449997,192.529999,192.529999,1062774800
1/1/2024,187.149994,188.440002,180.169998,185.919998,185.919998,513542400
1/12/2024,186.059998,186.740005,185.190002,185.919998,185.919998,40477782
